"url","name","locality","cuisine","price_per_person","overall_rating","food","service","ambiance","reviews","noise","dining_style"
"https://www.kayak.com/New-York-Restaurants-Acqua-Restaurant-NYC.100020539.rd.ksp","Acqua Restaurant NYC","Financial District","Italian","$30 and under","4.3","4.3","4.3","4.3","2145","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Stone-Street-Tavern.100020600.rd.ksp","Stone Street Tavern","Financial District","American","$30 and under","4.5","4.4","4.5","4.2","75","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-ATRIO-Wine-Bar-Restaurant.100020650.rd.ksp","ATRIO Wine Bar & Restaurant","Battery Park City","Unspecified","$30 and under","4.8","4.6","4.8","4.6","25","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Michael-s.100020654.rd.ksp","Michael's","Midtown","American","$31 to $50","4.4","4.4","4.3","4.3","5588","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Alachi-Masala.100020753.rd.ksp","Alachi Masala","Upper West Side","Indian","$30 and under","4.0","4.1","4.0","3.6","242","Low","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Morandi.100020791.rd.ksp","Morandi","West Village","Italian","$31 to $50","4.5","4.4","4.3","4.4","14541","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-B-Cafe.100020886.rd.ksp","B. Cafe","Upper East Side","Belgian","$30 and under","4.4","4.5","4.2","4.4","151","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Serafina-Upper-West.100020925.rd.ksp","Serafina Upper West","Upper West Side","Italian","$30 and under","4.5","4.4","4.4","4.2","222","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Souvlaki-GR-LES.100020937.rd.ksp","Souvlaki GR - LES","Lower East Side","Greek","$30 and under","4.6","4.8","4.7","4.5","11","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Lucky-Strike.100021175.rd.ksp","Lucky Strike","SoHo","French American","$30 and under","4.5","4.3","4.3","4.4","315","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Cafe-Un-Deux-Trois.100021252.rd.ksp","Cafe Un Deux Trois","Midtown","French","$31 to $50","4.1","4.0","4.1","4.0","13214","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Benihana-New-York.100021502.rd.ksp","Benihana - New York, NY","Midtown","Japanese","$30 and under","4.3","4.4","4.1","3.9","455","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Joseph-s-Restaurant.100021565.rd.ksp","Joseph's Restaurant","Financial District","Italian","$31 to $50","4.5","4.4","4.6","4.3","42","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-Trattoria-Zero-Otto-Nove.100021774.rd.ksp","Trattoria Zero Otto Nove - Flatiron","Flatiron District","Italian","$31 to $50","4.7","4.7","4.7","4.5","186","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Il-Tinello.100021780.rd.ksp","Il Tinello - West 56th St","Midtown","Italian","$50 and over","4.9","4.9","4.9","4.8","203","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Moti-Mahal-Delux.100021800.rd.ksp","Moti Mahal Delux","Upper East Side","Indian","$31 to $50","4.6","4.6","4.6","4.2","54","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Crave-Fishbar-Midtown.100021801.rd.ksp","Crave Fishbar - Midtown","Midtown","Seafood","$31 to $50","4.7","4.6","4.6","4.5","299","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Haven-Rooftop.100021825.rd.ksp","Haven Rooftop","Midtown","American","$30 and under","4.3","4.2","4.3","4.4","685","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Jubilee-1st-Avenue.100021826.rd.ksp","Jubilee 1st Avenue","Midtown","French","$31 to $50","4.4","4.4","4.3","4.3","5678","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-The-MasalaWala.100022077.rd.ksp","The MasalaWala","Lower East Side","Indian","$30 and under","4.4","4.4","4.4","3.9","952","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-The-Library-at-the-Public.100022092.rd.ksp","The Library at The Public","NoHo","American","$30 and under","4.4","4.3","4.3","4.5","20","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Pennsylvania-6-NYC.100022161.rd.ksp","Pennsylvania 6 - NYC","Chelsea","American","$31 to $50","4.2","4.1","4.1","4.0","2738","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Angelo-Bellini-Italian-Restaurant.100022165.rd.ksp","Angelo Bellini Italian Restaurant","Midtown","Italian","$30 and under","3.6","3.6","3.6","3.7","40","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Mira-Sushi-Izakaya-Bar.100022193.rd.ksp","Mira Sushi & Izakaya Bar","Flatiron District","Sushi","$30 and under","4.4","4.4","4.2","4.1","4255","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-O-Lunney-s-Times-Square-Pub.100022250.rd.ksp","O'Lunney's Times Square Pub","Midtown","Irish","$30 and under","4.4","4.3","4.5","4.3","282","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Bill-s-Townhouse.100022257.rd.ksp","Bill's Townhouse","Midtown","American","$31 to $50","4.6","4.5","4.5","4.6","3321","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Spice-Symphony-50th-St-.100022380.rd.ksp","Spice Symphony – 50th St.","Midtown","Indian","$30 and under","4.6","4.7","4.5","4.3","116","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-83-1-2.100022381.rd.ksp","83 1/2","Upper East Side","Italian","$30 and under","4.6","4.7","4.5","4.4","109","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Gramercy-Tavern.100022400.rd.ksp","Gramercy Tavern - The Tavern","Gramercy","American","$30 and under",NA,"0.0","0.0","0.0",NA,NA,"Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Tommy-Bahama-New-York.100022456.rd.ksp","Tommy Bahama - New York","Midtown","American","$30 and under","4.7","4.7","4.6","4.6","322","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Oxbow-Tavern.100022481.rd.ksp","Oxbow Tavern","Upper West Side","French American","$31 to $50","4.3","4.3","4.3","4.2","495","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Galli-Restaurant-SoHo.100022536.rd.ksp","Galli Restaurant SoHo","SoHo","Italian","$30 and under","4.3","4.3","4.2","4.2","6106","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Tia-Pol.100022547.rd.ksp","Tía Pol","Chelsea","Tapas / Small Plates","$31 to $50","4.6","4.6","4.5","4.2","4477","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Boulton-and-Watt.100022790.rd.ksp","Boulton and Watt","East Village","Comfort food","$30 and under","4.7","4.7","4.6","4.8","39","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Giardino-D-Oro.100022809.rd.ksp","Giardino D'Oro","Financial District","Italian","$31 to $50","4.7","4.6","4.7","4.5","39","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-Sushi-of-Gari-Tribeca.100022819.rd.ksp","Sushi of Gari - Tribeca","Tribeca","Sushi","$50 and over","4.8","4.8","4.8","4.3","88","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-The-Crosby-Bar.100022826.rd.ksp","The Crosby Bar","SoHo","American","$31 to $50","4.8","4.6","4.6","4.8","207","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Strip-House-Midtown.100022932.rd.ksp","Strip House Midtown","Midtown","Steak","$50 and over","4.6","4.7","4.6","4.6","220","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Benares-Tribeca.100022984.rd.ksp","Benares - Tribeca","Tribeca","Indian","$31 to $50","4.3","4.3","4.1","4.0","1310","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Trading-Post-NYC.100022985.rd.ksp","Trading Post NYC","Financial District","American","$31 to $50","4.4","4.3","4.3","4.3","2129","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-The-Smith-Lincoln-Square.100023032.rd.ksp","The Smith- Lincoln Square","Upper West Side","American","$30 and under","4.5","0.0","4.5","4.1","1882","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Felidia.100023051.rd.ksp","Felidia","Midtown","Italian","$31 to $50","4.5","4.5","4.4","4.2","15119","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Sea-Fire-Grill.100023075.rd.ksp","Sea Fire Grill","Midtown","Seafood","$50 and over","4.8","4.7","4.7","4.6","328","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-La-Bella-Vita.100023106.rd.ksp","La Bella Vita","Little Italy","Italian","$30 and under","4.3","4.3","4.3","4.1","664","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Il-Gattopardo.100023252.rd.ksp","Il Gattopardo","Midtown","Italian","$50 and over","4.7","4.7","4.7","4.6","426","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-Wa-Jeal.100023263.rd.ksp","Wa Jeal","Upper East Side","Chinese","$30 and under","4.6","4.6","4.6","4.2","29","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Beer-Authority.100023265.rd.ksp","Beer Authority","Hell's Kitchen","Gastro Pub","$31 to $50","4.3","4.3","4.3","4.3","24","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Yakiniku-Futago.100023379.rd.ksp","Yakiniku Futago","Chelsea","Japanese","$50 and over","4.8","4.8","4.7","4.7","113","Moderate","Fine Dining"
"https://www.kayak.com/New-York-Restaurants-Azalea.100023621.rd.ksp","Azalea","Midtown","Italian","$30 and under","4.6","4.5","4.7","4.4","329","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Villa-Cemita.100023703.rd.ksp","Villa Cemita","East Village","Mexican","$30 and under","4.5","4.4","4.4","4.2","192","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Sadelles.100023733.rd.ksp","Sadelle’s","SoHo","Breakfast","$30 and under","4.7","4.7","4.3","4.6","14647","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Danji.100023767.rd.ksp","Danji","Hell's Kitchen","Korean","$31 to $50","4.7","4.7","4.7","4.4","118","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Los-Feliz.100023834.rd.ksp","Los Feliz","Lower East Side","Mexican","$30 and under","4.7","4.6","4.3","4.5","41","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Crimson-Rye.100023857.rd.ksp","Crimson & Rye","Midtown","Cocktail bar","$30 and under","4.3","4.0","4.2","4.2","182","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Feast.100023949.rd.ksp","Feast","East Village","Contemporary American","$31 to $50","4.7","4.5","4.7","4.6","257","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Grand-Salon-Bar-at-Baccarat-Hotel-New-York.100024047.rd.ksp","Grand Salon & Bar at Baccarat Hotel New York","Midtown","French","$31 to $50","4.6","4.4","4.4","4.8","671","Low","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Carraghers.100024064.rd.ksp","Carragher’s","Midtown","British","$30 and under","4.3","4.0","4.1","4.3","1094","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Gallery-Bar-Pop-Up-at-Rainbow-Room.100024089.rd.ksp","Gallery Bar Pop Up","Midtown","Contemporary American","$50 and over","4.2","4.0","4.1","4.3","244","Moderate","Elegant Dining"
"https://www.kayak.com/New-York-Restaurants-Jams-NYC.100024094.rd.ksp","Jams - NYC","Midtown","American","$30 and under","4.4","4.3","4.2","4.4","5166","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Pig-n-Whistle-46th-St-.100024437.rd.ksp","Pig n Whistle-46th St.","Midtown","American","$30 and under","4.1","4.1","4.2","3.9","570","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-Blossom-Chelsea.100024446.rd.ksp","Blossom- Chelsea","Chelsea","Vegetarian / Vegan","$31 to $50","4.8","4.7","4.8","4.6","65","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Souvlaki-GR-Midtown.100024524.rd.ksp","Souvlaki GR Midtown","Midtown","Greek","$30 and under","4.7","4.7","4.6","4.2","98","Moderate","Casual Dining"
"https://www.kayak.com/New-York-Restaurants-L-Amico.100024595.rd.ksp","L'Amico","Chelsea","American","$50 and over","4.5","4.5","4.3","4.4","13795","Moderate","Casual Elegant"
"https://www.kayak.com/New-York-Restaurants-Antique-Garage-Soho.100024615.rd.ksp","Antique Garage Soho","SoHo","Mediterranean","$31 to $50","4.4","4.3","4.3","4.5","137","Moderate","Casual Dining"
